operacao,arvore,arquivo,comparacoes,tempo,nao_encontrado,errado,correto,altura,total_usuarios
I,ABP,data/500_ordenado.csv,375250,0.001000,0,0,0,500,500
C,ABP,data/10u_base500_1e.csv,5486,0.000000,0,1,9,0,10
I,AVL,data/500_ordenado.csv,4443,0.000000,0,0,0,9,500
C,AVL,data/10u_base500_1e.csv,150,0.000000,0,1,9,0,10
I,ABP,data/500_ordenado.csv,375250,0.001000,0,0,0,500,500
C,ABP,data/10u_base500_5e.csv,5486,0.000000,0,5,5,0,10
I,AVL,data/500_ordenado.csv,4443,0.000000,0,0,0,9,500
C,AVL,data/10u_base500_5e.csv,150,0.000000,0,5,5,0,10
I,ABP,data/500_ordenado.csv,375250,0.001000,0,0,0,500,500
C,ABP,data/100u_base500_10e.csv,46766,0.000000,0,10,90,0,100
I,AVL,data/500_ordenado.csv,4443,0.001000,0,0,0,9,500
C,AVL,data/100u_base500_10e.csv,1510,0.000000,0,10,90,0,100
I,ABP,data/500_ordenado.csv,375250,0.002000,0,0,0,500,500
C,ABP,data/100u_base500_50e.csv,46766,0.001000,0,50,50,0,100
I,AVL,data/500_ordenado.csv,4443,0.001000,0,0,0,9,500
C,AVL,data/100u_base500_50e.csv,1510,0.000000,0,50,50,0,100
I,ABP,data/500_desordenado.csv,13093,0.001000,0,0,0,19,500
C,ABP,data/10u_base500_1e.csv,184,0.000000,0,1,9,0,10
I,AVL,data/500_desordenado.csv,4051,0.000000,0,0,0,11,500
C,AVL,data/10u_base500_1e.csv,162,0.000000,0,1,9,0,10
I,ABP,data/500_desordenado.csv,13093,0.000000,0,0,0,19,500
C,ABP,data/10u_base500_5e.csv,184,0.000000,0,5,5,0,10
I,AVL,data/500_desordenado.csv,4051,0.000000,0,0,0,11,500
C,AVL,data/10u_base500_5e.csv,162,0.000000,0,5,5,0,10
I,ABP,data/500_desordenado.csv,13093,0.000000,0,0,0,19,500
C,ABP,data/100u_base500_10e.csv,2006,0.000000,0,10,90,0,100
I,AVL,data/500_desordenado.csv,4051,0.000000,0,0,0,11,500
